FirstName,LastName,NetID,Email,Password,Role
Damyeong,Chiappone,dchiappone,dchiappone@example.com,123,student
Daran,Chokry,dchokry,dchokry@example.com,123,student
Dayna,Ciccotto,dciccotto,dciccotto@example.com,123,student
Demian,Clavette,dclavette,dclavette@example.com,123,student
Devon,Coffman,dcoffman,dcoffman@example.com,123,student
Dingxin,Conceicao,dconceicao,dconceicao@example.com,123,student
Dong Young,Corace,dcorace,dcorace@example.com,123,student
Douyi,Coshic,dcoshic,dcoshic@example.com,123,student
Eduardo,Creppy,ecreppy,ecreppy@example.com,123,student
Eliza,Cuesto,ecuesto,ecuesto@example.com,123,student
Eoghan,Czechowicz,eczechowicz,eczechowicz@example.com,123,student
Eugenie,Dalencourt,edalencourt,edalencourt@example.com,123,student
Eya,Darmiento,edarmiento,edarmiento@example.com,123,student
Farha,De Geus,fde geus,fde geus@example.com,123,student
Fenia,Deats,fdeats,fdeats@example.com,123,student
Freja,Delacruz,fdelacruz,fdelacruz@example.com,123,student
Gartrell,Demiris,gdemiris,gdemiris@example.com,123,student
Gerson,Deshkovich,gdeshkovich,gdeshkovich@example.com,123,student
Glickman,Di Carlo,gdicarlo,gdicarlo@example.com,123,student
Guillermo,Digiovanni,gdigiovanni,gdigiovanni@example.com,123,student
Haarika,Distasio,hdistasio,hdistasio@example.com,123,student
Hammame,Donatelli,hdonatelli,hdonatelli@example.com,123,student
Haojuan,Dounel,hdounel,hdounel@example.com,123,student
Harshil,Dubongco,hdubongco,hdubongco@example.com,123,student
Helaena,Durand,hdurand,hdurand@example.com,123,student
Hiren,Ebrahim,hebrahim,hebrahim@example.com,123,student
Hoorann,Einfrank,heinfrank,heinfrank@example.com,123,student
Huidong,Elnakib,helnakib,helnakib@example.com,123,student
Hyeajin,Ergun,hergun,hergun@example.com,123,student
Hyunjung,Evangelista,hevangelista,hevangelista@example.com,123,student
In Ho,Fallica,ifallica,ifallica@example.com,123,student
Isabelle-Stephanie,Fassler,ifassler,ifassler@example.com,123,student
Jacob,Feltman,jfeltman,jfeltman@example.com,123,student
Jaeyou,Fey,jfey,jfey@example.com,123,student
Janel,Fiorini,jfiorini,jfiorini@example.com,123,student
Jasper,Flores,jflores,jflores@example.com,123,student
Jeehyun Karen,Fornof,jfornof,jfornof@example.com,123,student
Jeremy,Fredericks,jfredericks,jfredericks@example.com,123,student
Ji Yoon,Fudge,jfudge,jfudge@example.com,123,student
Jianghao,Gagliardi,jgagliardi,jgagliardi@example.com,123,student
Jibreel,Gambeski,jgambeski,jgambeski@example.com,123,student
Jing Kun,Garner,jgarner,jgarner@example.com,123,student
Jinwoo,Gazaille,jgazaille,jgazaille@example.com,123,student
John Adriel,Gera,jgera,jgera@example.com,123,student
Joon Su,Ghosh Dastidar,jghoshdastidar,jghoshdastidar@example.com,123,student
Juan Carlos,Gilner,jgilner,jgilner@example.com,123,student
Jun Qiang,Gledhill,jgledhill,jgledhill@example.com,123,student
Junxing,Goldsmith,jgoldsmith,jgoldsmith@example.com,123,student
Kai Ni,Gooya,kgooya,kgooya@example.com,123,student
Kandice,Graham,kgraham,kgraham@example.com,123,student
Kasie,Grieco,kgrieco,kgrieco@example.com,123,student
Kayria,Gualano,kgualano,kgualano@example.com,123,student
Kennelia,Gumpert,kgumpert,kgumpert@example.com,123,student
Khadeja,Ha,kha,kha@example.com,123,student
Kimberlyn,Halmo,khalmo,khalmo@example.com,123,student
Kook In,Hannani,khannani,khannani@example.com,123,student
Krystalle,Hartough,khartough,khartough@example.com,123,student
Kyle Marcus,Hayden,khayden,khayden@example.com,123,student
Lancelot,Helin,lhelin,lhelin@example.com,123,student
Leigh Anne,Herrmann,lherrmann,lherrmann@example.com,123,student
Libo,Hippner,lhippner,lhippner@example.com,123,student
Linnea,Hollwedel,lhollwedel,lhollwedel@example.com,123,student
Lori,Horvitz,lhorvitz,lhorvitz@example.com,123,student
Luwei,Huck,lhuck,lhuck@example.com,123,student
Maedeh,Hussaini,mhussaini,mhussaini@example.com,123,student
Maleka,Ikwuazom,mikwuazom,mikwuazom@example.com,123,student
Maor,Iocolano,miocolano,miocolano@example.com,123,student
Marielle,Jablow,mjablow,mjablow@example.com,123,student
Marvin,James,mjames,mjames@example.com,123,student
Mattheo,Javadi,mjavadi,mjavadi@example.com,123,student
Medha,Jiang,mjiang,mjiang@example.com,123,student
Meng,Joshy,mjoshy,mjoshy@example.com,123,student
Mia,Kadi,mkadi,mkadi@example.com,123,student
Min,Kan,mkan,mkan@example.com,123,student
Minmei,Kariveda,mkariveda,mkariveda@example.com,123,student
Mohamad,Kaur,mkaur,mkaur@example.com,123,student
Moses,Keluskar,mkeluskar,mkeluskar@example.com,123,student
Mutayyaba,Khaira,mkhaira,mkhaira@example.com,123,student
Nafisa Oanali,Kiernan,nkiernan,nkiernan@example.com,123,student
Narmin,Klas,nklas,nklas@example.com,123,student
Nayeon,Kobayashi,nkobayashi,nkobayashi@example.com,123,student
Nian Ying,Kombrink,nkombrink,nkombrink@example.com,123,student
Nikunj,Kornegay,nkornegay,nkornegay@example.com,123,student
Noam,Krackow,nkrackow,nkrackow@example.com,123,student
Nyana,Krog,nkrog,nkrog@example.com,123,student
On Yu,Kumar,okumar,okumar@example.com,123,student
Pallabi,Kwan,pkwan,pkwan@example.com,123,student
Pavan,Lafergola,plafergola,plafergola@example.com,123,student
Philippe,Lampert,plampert,plampert@example.com,123,student
Pragati,Larosiliere,plarosiliere,plarosiliere@example.com,123,student
Promita,Lavina,plavina,plavina@example.com,123,student
Qingqing,Leddy,qleddy,qleddy@example.com,123,student
Radley,Lemonda,rlemonda,rlemonda@example.com,123,student
Ram,Leveille,rleveille,rleveille@example.com,123,student
Ray Shaun,Lidar,rlidar,rlidar@example.com,123,student
Renxia,Lipp,rlipp,rlipp@example.com,123,student
Ridhwan,Loder,rloder,rloder@example.com,123,student
Rolando,Lorenzotti,rlorenzotti,rlorenzotti@example.com,123,student
Rowan,Lucatuorto III,rlucatuortoiii,rlucatuortoiii@example.com,123,student
Ruolin,Lynch,rlynch,rlynch@example.com,123,student
Sadhana,Macioch,smacioch,smacioch@example.com,123,student
Sainah,Magrill,smagrill,smagrill@example.com,123,student
Sammy,Makadia,smakadia,smakadia@example.com,123,student
Sanjay,Mampassi,smampassi,smampassi@example.com,123,student
Sayidana,Mann,smann,smann@example.com,123,student
Seokhoon,Marcellus,smarcellus,smarcellus@example.com,123,student
Seunghyuk,Maroney,smaroney,smaroney@example.com,123,student
Shajee,Marziliano,smarziliano,smarziliano@example.com,123,student
Shantai,Mateyunas,smateyunas,smateyunas@example.com,123,student
Shawntel,Maxner,smaxner,smaxner@example.com,123,student
Sherica,McConnell,smcconnell,smcconnell@example.com,123,student
Shiqi,McGregor,smcgregor,smcgregor@example.com,123,student
Shuhao,Mcisaac,smcisaac,smcisaac@example.com,123,student
Sien,Melito,smelito,smelito@example.com,123,student
Siu Chi,Merius,smerius,smerius@example.com,123,student
Solhee,Michael,smichael,smichael@example.com,123,student
Soung Hyun,Milgrom,smilgrom,smilgrom@example.com,123,student
Steeven,Mirabrishami,smirabrishami,smirabrishami@example.com,123,student
Suh Hyong,Modesto-Valentin,smodestovalentin,smodestovalentin@example.com,123,student
Sunwa,Momperousse,smomperousse,smomperousse@example.com,123,student
Sylvinson,Montierde,smontierde,smontierde@example.com,123,student
Talat,Moronta,tmoronta,tmoronta@example.com,123,student
Tasfia,Mu,tmu,tmu@example.com,123,student
Teresa,Munday,tmunday,tmunday@example.com,123,student
Tianming,Muthukrishnan,tmuthukrishnan,tmuthukrishnan@example.com,123,student
Tinna,Naimzadeh,tnaimzadeh,tnaimzadeh@example.com,123,student
Trenae,Naslonski,tnaslonski,tnaslonski@example.com,123,student
Tyrone,Negron,tnegron,tnegron@example.com,123,student
Vamadi,Neyland,vneyland,vneyland@example.com,123,student
Vicky,Nimmons,vnimmons,vnimmons@example.com,123,student
Vivek,Noriega,vnoriega,vnoriega@example.com,123,student
Wei-Yang,Nwatu,wnwatu,wnwatu@example.com,123,student
Wenke,Obata,wobata,wobata@example.com,123,student
Woo Chul,Ohnemus,wohnemus,wohnemus@example.com,123,student
Xiaojing,Olokunwolu,xolokunwolu,xolokunwolu@example.com,123,student
Xindi,Ore Monago,xoremonago,xoremonago@example.com,123,student
Xuanyu,Ou,xou,xou@example.com,123,student
Yali,Paduru,ypaduru,ypaduru@example.com,123,student
Yanyu,Palmiere,ypalmiere,ypalmiere@example.com,123,student
Ye Seul,Papazian,ypapazian,ypapazian@example.com,123,student
Yi-Hsin,Pascariello,ypascariello,ypascariello@example.com,123,student


