zeqli,Zeqing,Li,zeqing.li@stonybrook.edu,admin,administrator instructor
jengu,Jerry,Nguyen,jerry.nguyen@stonybrook.edu,abc123,student
masco,Mark,Scott,mark.scott@stonybrook.edu,abc123,student
ritho,Richard,Thompson,richard.thompson@stonybrook.edu,abc123,student
mimor,Michael,Morgan,michael.morgan@stonybrook.edu,abc123,student
ramar,Randy,Martin,randy.martin@stonybrook.edu,abc123,student
anbro,Anthony,Brooks,anthony.brooks@stonybrook.edu,abc123,student
dogra,Douglas,Gray,douglas.gray@stonybrook.edu,abc123,student
jocoo,Johnny,Cook,johnny.cook@stonybrook.edu,abc123,student
phjon,Philip,Jones,philip.jones@stonybrook.edu,abc123,student
kesul,Kenneth,Sullivan,kenneth.sullivan@stonybrook.edu,abc123,student
jangu,Jason,Nguyen,jason.nguyen@stonybrook.edu,abc123,student
jowri,Joseph,Wright,joseph.wright@stonybrook.edu,abc123,student
ramil,Ralph,Miller,ralph.miller@stonybrook.edu,abc123,student
gegar,Gerald,Garcia,gerald.garcia@stonybrook.edu,abc123,student
aasul,Aaron,Sullivan,aaron.sullivan@stonybrook.edu,abc123,student
rudav,Russell,Davis,russell.davis@stonybrook.edu,abc123,student
chtur,Christopher,Turner,christopher.turner@stonybrook.edu,abc123,student
laflo,Lawrence,Flores,lawrence.flores@stonybrook.edu,abc123,student
lagon,Larry,Gonzalez,larry.gonzalez@stonybrook.edu,abc123,student
jojoh,Jose,Johnson,jose.johnson@stonybrook.edu,abc123,student
jabut,Jacob,Butler,jacob.butler@stonybrook.edu,abc123,student
jewil,Jeremy,Williams,jeremy.williams@stonybrook.edu,abc123,student
kywil,Kyle,Williams,kyle.williams@stonybrook.edu,abc123,student
arhar,Arthur,Harris,arthur.harris@stonybrook.edu,abc123,student
chtor,Christopher,Torres,christopher.torres@stonybrook.edu,abc123,student
gapow,Gabriel,Powell,gabriel.powell@stonybrook.edu,abc123,student
gasan,Gabriel,Sanchez,gabriel.sanchez@stonybrook.edu,abc123,student
stkel,Steven,Kelly,steven.kelly@stonybrook.edu,abc123,student
parus,Paul,Russell,paul.russell@stonybrook.edu,abc123,student
daedw,Daniel,Edwards,daniel.edwards@stonybrook.edu,abc123,student
lalew,Larry,Lewis,larry.lewis@stonybrook.edu,abc123,student
grsan,Gregory,Sanders,gregory.sanders@stonybrook.edu,abc123,student
chort,Christopher,Ortiz,christopher.ortiz@stonybrook.edu,abc123,student
terob,Terry,Roberts,terry.roberts@stonybrook.edu,abc123,student
rakin,Randy,King,randy.king@stonybrook.edu,abc123,student
phphi,Philip,Phillips,philip.phillips@stonybrook.edu,abc123,student
jukin,Juan,King,juan.king@stonybrook.edu,abc123,student
etpow,Ethan,Powell,ethan.powell@stonybrook.edu,abc123,student
wiand,William,Anderson,william.anderson@stonybrook.edu,abc123,student
joand,Jonathan,Anderson,jonathan.anderson@stonybrook.edu,abc123,student
norus,Noah,Russell,noah.russell@stonybrook.edu,abc123,student
aamil,Aaron,Miller,aaron.miller@stonybrook.edu,abc123,student
jeeva,Jerry,Evans,jerry.evans@stonybrook.edu,abc123,student
brlew,Brian,Lewis,brian.lewis@stonybrook.edu,abc123,student
brwoo,Brandon,Wood,brandon.wood@stonybrook.edu,abc123,student
johar,Joshua,Harris,joshua.harris@stonybrook.edu,abc123,student
miwat,Michael,Watson,michael.watson@stonybrook.edu,abc123,student
hofos,Howard,Foster,howard.foster@stonybrook.edu,abc123,student
pebut,Peter,Butler,peter.butler@stonybrook.edu,abc123,student
damit,David,Mitchell,david.mitchell@stonybrook.edu,abc123,student
anedw,Anthony,Edwards,anthony.edwards@stonybrook.edu,abc123,student
damoo,Daniel,Moore,daniel.moore@stonybrook.edu,abc123,student
juall,Justin,Allen,justin.allen@stonybrook.edu,abc123,student
scsan,Scott,Sanders,scott.sanders@stonybrook.edu,abc123,student
euwil,Eugene,Wilson,eugene.wilson@stonybrook.edu,abc123,student
hacox,Harold,Cox,harold.cox@stonybrook.edu,abc123,student
thfos,Thomas,Foster,thomas.foster@stonybrook.edu,abc123,student
cagre,Carl,Green,carl.green@stonybrook.edu,abc123,student
rogom,Ronald,Gomez,ronald.gomez@stonybrook.edu,abc123,student
argon,Arthur,Gonzalez,arthur.gonzalez@stonybrook.edu,abc123,student
arcla,Arthur,Clark,arthur.clark@stonybrook.edu,abc123,student
wigar,Willie,Garcia,willie.garcia@stonybrook.edu,abc123,student
hogre,Howard,Green,howard.green@stonybrook.edu,abc123,student
notay,Noah,Taylor,noah.taylor@stonybrook.edu,abc123,student
bokel,Bobby,Kelly,bobby.kelly@stonybrook.edu,abc123,student
latho,Larry,Thomas,larry.thomas@stonybrook.edu,abc123,student
thtor,Thomas,Torres,thomas.torres@stonybrook.edu,abc123,student
jecla,Jesse,Clark,jesse.clark@stonybrook.edu,abc123,student
miriv,Michael,Rivera,michael.rivera@stonybrook.edu,abc123,student
arric,Arthur,Richardson,arthur.richardson@stonybrook.edu,abc123,student
dejen,Dennis,Jenkins,dennis.jenkins@stonybrook.edu,abc123,student
roand,Robert,Anderson,robert.anderson@stonybrook.edu,abc123,student
rolew,Roy,Lewis,roy.lewis@stonybrook.edu,abc123,student
etgon,Ethan,Gonzalez,ethan.gonzalez@stonybrook.edu,abc123,student
jowoo,Joshua,Wood,joshua.wood@stonybrook.edu,abc123,student
joros,Jordan,Ross,jordan.ross@stonybrook.edu,abc123,student
nasan,Nathan,Sanders,nathan.sanders@stonybrook.edu,abc123,student
wingu,William,Nguyen,william.nguyen@stonybrook.edu,abc123,student
tehal,Terry,Hall,terry.hall@stonybrook.edu,abc123,student
helon,Henry,Long,henry.long@stonybrook.edu,abc123,student
dowil,Douglas,Williams,douglas.williams@stonybrook.edu,abc123,student
parey,Paul,Reye,paul.reye@stonybrook.edu,abc123,student
jasco,Jason,Scott,jason.scott@stonybrook.edu,abc123,student
grjoh,Gregory,Johnson,gregory.johnson@stonybrook.edu,abc123,student
jomor,Joshua,Morales,joshua.morales@stonybrook.edu,abc123,student
chdia,Christian,Diaz,christian.diaz@stonybrook.edu,abc123,student
erwar,Eric,Ward,eric.ward@stonybrook.edu,abc123,student
jahil,Jack,Hill,jack.hill@stonybrook.edu,abc123,student
alrus,Alexander,Russell,alexander.russell@stonybrook.edu,abc123,student
wisan,William,Sanders,william.sanders@stonybrook.edu,abc123,student
wibel,William,Bell,william.bell@stonybrook.edu,abc123,student
rygra,Ryan,Gray,ryan.gray@stonybrook.edu,abc123,student
artho,Arthur,Thomas,arthur.thomas@stonybrook.edu,abc123,student
belew,Benjamin,Lewis,benjamin.lewis@stonybrook.edu,abc123,student
secol,Sean,Collins,sean.collins@stonybrook.edu,abc123,student
rasan,Randy,Sanchez,randy.sanchez@stonybrook.edu,abc123,student
alcru,Albert,Cruz,albert.cruz@stonybrook.edu,abc123,student
hesan,Henry,Sanchez,henry.sanchez@stonybrook.edu,abc123,student
lawhi,Lawrence,White,lawrence.white@stonybrook.edu,abc123,student
magra,Mark,Gray,mark.gray@stonybrook.edu,abc123,student
jowat,Joe,Watson,joe.watson@stonybrook.edu,abc123,student
jofis,Joseph,Fisher,joseph.fisher@stonybrook.edu,abc123,student
kybak,Kyle,Baker,kyle.baker@stonybrook.edu,abc123,student
pemur,Peter,Murphy,peter.murphy@stonybrook.edu,abc123,student
tegre,Terry,Green,terry.green@stonybrook.edu,abc123,student
brcam,Brian,Campbell,brian.campbell@stonybrook.edu,abc123,student
bidav,Billy,Davis,billy.davis@stonybrook.edu,abc123,student
decoo,Dennis,Cook,dennis.cook@stonybrook.edu,abc123,student
ausan,Austin,Sanchez,austin.sanchez@stonybrook.edu,abc123,student
nodia,Noah,Diaz,noah.diaz@stonybrook.edu,abc123,student
thmor,Thomas,Morgan,thomas.morgan@stonybrook.edu,abc123,student
dakel,Daniel,Kelly,daniel.kelly@stonybrook.edu,abc123,student
lagon,Lawrence,Gonzalez,lawrence.gonzalez@stonybrook.edu,abc123,student
mamor,Matthew,Morgan,matthew.morgan@stonybrook.edu,abc123,student
periv,Peter,Rivera,peter.rivera@stonybrook.edu,abc123,student
gemit,George,Mitchell,george.mitchell@stonybrook.edu,abc123,student
haper,Harold,Perez,harold.perez@stonybrook.edu,abc123,student
gamye,Gary,Myers,gary.myers@stonybrook.edu,abc123,student
wimor,William,Morris,william.morris@stonybrook.edu,abc123,student
erdia,Eric,Diaz,eric.diaz@stonybrook.edu,abc123,student
jofos,Jose,Foster,jose.foster@stonybrook.edu,abc123,student
jomoo,Joshua,Moore,joshua.moore@stonybrook.edu,abc123,student
pamor,Paul,Morales,paul.morales@stonybrook.edu,abc123,student
becam,Benjamin,Campbell,benjamin.campbell@stonybrook.edu,abc123,student
rarob,Ralph,Roberts,ralph.roberts@stonybrook.edu,abc123,student
jasul,James,Sullivan,james.sullivan@stonybrook.edu,abc123,student
bejam,Benjamin,James,benjamin.james@stonybrook.edu,abc123,student
adgra,Adam,Gray,adam.gray@stonybrook.edu,abc123,student
sakel,Samuel,Kelly,samuel.kelly@stonybrook.edu,abc123,student
brper,Brian,Perry,brian.perry@stonybrook.edu,abc123,student
frmor,Frank,Morgan,frank.morgan@stonybrook.edu,abc123,student
jarod,Jacob,Rodriguez,jacob.rodriguez@stonybrook.edu,abc123,student
chhug,Christian,Hughes,christian.hughes@stonybrook.edu,abc123,student
roher,Ronald,Hernandez,ronald.hernandez@stonybrook.edu,abc123,student
adort,Adam,Ortiz,adam.ortiz@stonybrook.edu,abc123,student
waste,Walter,Stewart,walter.stewart@stonybrook.edu,abc123,student
wicox,Willie,Cox,willie.cox@stonybrook.edu,abc123,student
eujen,Eugene,Jenkins,eugene.jenkins@stonybrook.edu,abc123,student
kemor,Keith,Morales,keith.morales@stonybrook.edu,abc123,student
lasul,Lawrence,Sullivan,lawrence.sullivan@stonybrook.edu,abc123,student
sebak,Sean,Baker,sean.baker@stonybrook.edu,abc123,student
geper,Gerald,Perez,gerald.perez@stonybrook.edu,abc123,student
ramoo,Raymond,Moore,raymond.moore@stonybrook.edu,abc123,student
gemor,Gerald,Morgan,gerald.morgan@stonybrook.edu,abc123,student
brrog,Brian,Rogers,brian.rogers@stonybrook.edu,abc123,student
frmar,Frank,Martin,frank.martin@stonybrook.edu,abc123,student
wisan,William,Sanchez,william.sanchez@stonybrook.edu,abc123,student
gewoo,Gerald,Wood,gerald.wood@stonybrook.edu,abc123,student
ruhil,Russell,Hill,russell.hill@stonybrook.edu,abc123,student
miphi,Michael,Phillips,michael.phillips@stonybrook.edu,abc123,student
chall,Charles,Allen,charles.allen@stonybrook.edu,abc123,student
rilop,Richard,Lopez,richard.lopez@stonybrook.edu,abc123,student
riper,Richard,Perez,richard.perez@stonybrook.edu,abc123,student
erwoo,Eric,Wood,eric.wood@stonybrook.edu,abc123,student
alngu,Alexander,Nguyen,alexander.nguyen@stonybrook.edu,abc123,student
beste,Benjamin,Stewart,benjamin.stewart@stonybrook.edu,abc123,student
jocoo,Jonathan,Cooper,jonathan.cooper@stonybrook.edu,abc123,student
kyort,Kyle,Ortiz,kyle.ortiz@stonybrook.edu,abc123,student
tyall,Tyler,Allen,tyler.allen@stonybrook.edu,abc123,student
domur,Donald,Murphy,donald.murphy@stonybrook.edu,abc123,student
hebak,Henry,Baker,henry.baker@stonybrook.edu,abc123,student
chwri,Christian,Wright,christian.wright@stonybrook.edu,abc123,student
grtur,Gregory,Turner,gregory.turner@stonybrook.edu,abc123,student
frand,Frank,Anderson,frank.anderson@stonybrook.edu,abc123,student
aadia,Aaron,Diaz,aaron.diaz@stonybrook.edu,abc123,student
zagut,Zachary,Gutierrez,zachary.gutierrez@stonybrook.edu,abc123,student
argut,Arthur,Gutierrez,arthur.gutierrez@stonybrook.edu,abc123,student
pehil,Peter,Hill,peter.hill@stonybrook.edu,abc123,student
dyram,Dylan,Ramirez,dylan.ramirez@stonybrook.edu,abc123,student
aurob,Austin,Roberts,austin.roberts@stonybrook.edu,abc123,student
grrey,Gregory,Reye,gregory.reye@stonybrook.edu,abc123,student
japer,James,Perez,james.perez@stonybrook.edu,abc123,student
niriv,Nicholas,Rivera,nicholas.rivera@stonybrook.edu,abc123,student
jusan,Justin,Sanchez,justin.sanchez@stonybrook.edu,abc123,student
stgom,Steven,Gomez,steven.gomez@stonybrook.edu,abc123,student
brwri,Brian,Wright,brian.wright@stonybrook.edu,abc123,student
rycox,Ryan,Cox,ryan.cox@stonybrook.edu,abc123,student
paand,Patrick,Anderson,patrick.anderson@stonybrook.edu,abc123,student
paort,Patrick,Ortiz,patrick.ortiz@stonybrook.edu,abc123,student
nopri,Noah,Price,noah.price@stonybrook.edu,abc123,student
deros,Dennis,Ross,dennis.ross@stonybrook.edu,abc123,student
eucar,Eugene,Carter,eugene.carter@stonybrook.edu,abc123,student
dyall,Dylan,Allen,dylan.allen@stonybrook.edu,abc123,student
roall,Ronald,Allen,ronald.allen@stonybrook.edu,abc123,student
phgar,Philip,Garcia,philip.garcia@stonybrook.edu,abc123,student
habar,Harry,Barnes,harry.barnes@stonybrook.edu,abc123,student
vihar,Vincent,Harris,vincent.harris@stonybrook.edu,abc123,student
noflo,Noah,Flores,noah.flores@stonybrook.edu,abc123,student
jobel,John,Bell,john.bell@stonybrook.edu,abc123,student
begon,Benjamin,Gonzalez,benjamin.gonzalez@stonybrook.edu,abc123,student
jubak,Justin,Baker,justin.baker@stonybrook.edu,abc123,student
chher,Christopher,Hernandez,christopher.hernandez@stonybrook.edu,abc123,student
chand,Christian,Anderson,christian.anderson@stonybrook.edu,abc123,student
rosan,Robert,Sanders,robert.sanders@stonybrook.edu,abc123,student
nolew,Noah,Lewis,noah.lewis@stonybrook.edu,abc123,student
hawil,Harry,Wilson,harry.wilson@stonybrook.edu,abc123,student
gaphi,Gary,Phillips,gary.phillips@stonybrook.edu,abc123,student
brgon,Brandon,Gonzalez,brandon.gonzalez@stonybrook.edu,abc123,student
sepri,Sean,Price,sean.price@stonybrook.edu,abc123,student
hayou,Harold,Young,harold.young@stonybrook.edu,abc123,student
rocoo,Ronald,Cooper,ronald.cooper@stonybrook.edu,abc123,student
doriv,Douglas,Rivera,douglas.rivera@stonybrook.edu,abc123,student
defos,Dennis,Foster,dennis.foster@stonybrook.edu,abc123,student
mabar,Mark,Barnes,mark.barnes@stonybrook.edu,abc123,student
jokin,Jose,King,jose.king@stonybrook.edu,abc123,student
gedia,Gerald,Diaz,gerald.diaz@stonybrook.edu,abc123,student
hoyou,Howard,Young,howard.young@stonybrook.edu,abc123,student
ryben,Ryan,Bennett,ryan.bennett@stonybrook.edu,abc123,student
keada,Keith,Adams,keith.adams@stonybrook.edu,abc123,student
wabel,Walter,Bell,walter.bell@stonybrook.edu,abc123,student
jobro,Johnny,Brooks,johnny.brooks@stonybrook.edu,abc123,student
laphi,Lawrence,Phillips,lawrence.phillips@stonybrook.edu,abc123,student
dobai,Douglas,Bailey,douglas.bailey@stonybrook.edu,abc123,student
ryfos,Ryan,Foster,ryan.foster@stonybrook.edu,abc123,student
hotur,Howard,Turner,howard.turner@stonybrook.edu,abc123,student
jalon,Jack,Long,jack.long@stonybrook.edu,abc123,student
cagon,Carl,Gonzalez,carl.gonzalez@stonybrook.edu,abc123,student
gelee,George,Lee,george.lee@stonybrook.edu,abc123,student
jagon,Jason,Gonzalez,jason.gonzalez@stonybrook.edu,abc123,student
behar,Benjamin,Harris,benjamin.harris@stonybrook.edu,abc123,student
albel,Alexander,Bell,alexander.bell@stonybrook.edu,abc123,student
jejen,Jeffrey,Jenkins,jeffrey.jenkins@stonybrook.edu,abc123,student
juand,Justin,Anderson,justin.anderson@stonybrook.edu,abc123,student
rowal,Ronald,Walker,ronald.walker@stonybrook.edu,abc123,student
jotho,John,Thomas,john.thomas@stonybrook.edu,abc123,student
almil,Alexander,Miller,alexander.miller@stonybrook.edu,abc123,student
sttur,Stephen,Turner,stephen.turner@stonybrook.edu,abc123,student
roste,Robert,Stewart,robert.stewart@stonybrook.edu,abc123,student
jawri,James,Wright,james.wright@stonybrook.edu,abc123,student
wasul,Walter,Sullivan,walter.sullivan@stonybrook.edu,abc123,student
jojen,Joseph,Jenkins,joseph.jenkins@stonybrook.edu,abc123,student
watho,Walter,Thompson,walter.thompson@stonybrook.edu,abc123,student
jaram,Jack,Ramirez,jack.ramirez@stonybrook.edu,abc123,student
cahug,Carl,Hughes,carl.hughes@stonybrook.edu,abc123,student
bonel,Bobby,Nelson,bobby.nelson@stonybrook.edu,abc123,student
edmye,Edward,Myers,edward.myers@stonybrook.edu,abc123,student
rimar,Richard,Martin,richard.martin@stonybrook.edu,abc123,student
stros,Steven,Ross,steven.ross@stonybrook.edu,abc123,student
masul,Matthew,Sullivan,matthew.sullivan@stonybrook.edu,abc123,student
phfos,Philip,Foster,philip.foster@stonybrook.edu,abc123,student
waort,Wayne,Ortiz,wayne.ortiz@stonybrook.edu,abc123,student
anbel,Anthony,Bell,anthony.bell@stonybrook.edu,abc123,student
rowar,Roger,Ward,roger.ward@stonybrook.edu,abc123,student
kepet,Kenneth,Peterson,kenneth.peterson@stonybrook.edu,abc123,student
wijoh,Willie,Johnson,willie.johnson@stonybrook.edu,abc123,student
rumor,Russell,Morris,russell.morris@stonybrook.edu,abc123,student
domit,Donald,Mitchell,donald.mitchell@stonybrook.edu,abc123,student
aulew,Austin,Lewis,austin.lewis@stonybrook.edu,abc123,student
gagut,Gary,Gutierrez,gary.gutierrez@stonybrook.edu,abc123,student
mijon,Michael,Jones,michael.jones@stonybrook.edu,abc123,student
